city,year,air_quality_rating
"Clinton, IA",2013,Moderate
"Clinton, IA",2014,Moderate
"Clinton, IA",2015,Moderate
"Clinton, IA",2016,Moderate
"Clinton, IA",2017,Moderate
"Clinton, IA",2018,Moderate
"Clinton, IA",2019,Moderate
"Clinton, IA",2020,Moderate
"Clinton, IA",2021,Moderate
Cluain Meala,2020,Moderate
Cluain Meala,2021,Moderate
Cluj,2010,Moderate
Cluj-Napoca,2013,Moderate
Cluj-Napoca,2014,Moderate
Cluj-Napoca,2015,Moderate
Cluj-Napoca,2016,Moderate
Cluj-Napoca,2017,Poor
Cluj-Napoca,2018,Poor
Cluj-Napoca,2019,Moderate
Cluj-Napoca,2020,Moderate
Cluj-Napoca,2021,Moderate
Cluj-Napoca,2022,Moderate
Cluj-napoca,2010,Moderate
Cluj-napoca,2013,Moderate
Coacalco de berriozabal,2010,Moderate
Coacalco de berriozabal,2011,Moderate
Coacalco de berriozabal,2012,Moderate
Coacalco de berriozabal,2013,Moderate
Coacalco de berriozabal,2014,Moderate
Coacalco de berriozabal,2015,Moderate
Coacalco de berriozabal,2016,Moderate
Coacalco de berriozabal,2017,Moderate
Cobh,2018,Moderate
Cobh,2019,Moderate
Cobh,2020,Moderate
Cobh,2021,Moderate
Coburg,2010,Moderate
Coburg,2013,Moderate
Coburg,2014,Moderate
Coburg,2015,Moderate
Coburg,2016,Moderate
Coburg,2017,Moderate
Coburg,2018,Moderate
Coburg,2019,Moderate
Coburg,2020,Moderate
Coburg,2021,Moderate
Cochabamba,2014,Moderate
Codli,2011,Moderate
Codli,2013,Moderate
Codli,2020,Moderate
Codogno,2010,Moderate
Codogno,2013,Moderate
Codogno,2014,Moderate
Codogno,2015,Moderate
Codogno,2016,Moderate
Codogno,2017,Moderate
Codogno,2018,Moderate
Codogno,2019,Moderate
Codogno,2020,Moderate
Codogno,2021,Moderate
Cognac,2010,Moderate
Cognac,2013,Moderate
Cognac,2014,Moderate
Cognac,2015,Moderate
Cognac,2016,Moderate
Cognac,2017,Moderate
Cognac,2018,Moderate
Cognac,2019,Moderate
Cogne,2016,Moderate
Cogoleto,2010,Moderate
Cogoleto,2013,Moderate
Cogoleto,2014,Moderate
Cogoleto,2016,Moderate
Coimbatore,2011,Moderate
Coimbatore,2012,Moderate
Coimbatore,2013,Moderate
Coimbatore,2014,Moderate
Coimbatore,2020,Moderate
Coimbra,2010,Moderate
Coimbra,2013,Moderate
Coimbra,2014,Moderate
Coimbra,2015,Moderate
Coimbra,2016,Moderate
Coimbra,2017,Moderate
Coimbra,2018,Moderate
Coimbra,2019,Moderate
Coimbra,2020,Moderate
"Coimbra, coimbra",2010,Moderate
Coimbrao,2013,Moderate
Coimbrão,2013,Moderate
Coimbrão,2014,Good
Coimbrão,2015,Moderate
Coimbrão,2016,Good
Coimbrão,2017,Moderate
Coimbrão,2018,Moderate
Coimbrão,2019,Moderate
Coimbrão,2020,Good
Colbordolo,2010,Moderate
Cold Lake,2020,Moderate
Cold lake,2013,Moderate
Cold lake,2015,Moderate
Cold lake,2016,Moderate
Cold lake,2017,Moderate
Cold lake,2018,Moderate
Cold lake,2019,Moderate
Colico,2010,Moderate
Colico Piano,2013,Moderate
Colico Piano,2014,Moderate
Colico Piano,2015,Moderate
Colico Piano,2016,Moderate
Colico Piano,2017,Moderate
Colico Piano,2018,Moderate
Colico Piano,2019,Moderate
Colico Piano,2020,Moderate
Colico Piano,2021,Moderate
Colico piano,2013,Moderate
Collado Villalba,2013,Moderate
Collado Villalba,2014,Moderate
Collado Villalba,2015,Moderate
Collado Villalba,2016,Moderate
Collado Villalba,2017,Moderate
Collado Villalba,2018,Moderate
Collado Villalba,2019,Moderate
Collado Villalba,2020,Moderate
Collado Villalba,2021,Moderate
Collado villalba,2010,Moderate
Collado villalba,2013,Moderate
Colleatterrato Alto,2017,Moderate
Colleatterrato Alto,2018,Moderate
Colleatterrato Alto,2019,Moderate
Colleatterrato Alto,2020,Moderate
Colleatterrato Alto,2021,Moderate
Colleferro,2010,Moderate
Colleferro,2013,Moderate
Colleferro,2014,Moderate
Colleferro,2015,Moderate
Colleferro,2016,Moderate
Colleferro,2017,Moderate
Colleferro,2018,Moderate
Colleferro,2019,Moderate
Colleferro,2020,Moderate
Colleferro,2021,Moderate
Collie,2010,Moderate
Collie,2011,Moderate
Collie,2012,Moderate
Collie,2013,Moderate
Collie,2014,Moderate
Collie,2015,Moderate
Collie,2016,Moderate
Collm,2010,Moderate
Colmar,2010,Moderate
Colmar,2013,Moderate
Colmar,2014,Moderate
Colmar,2015,Moderate
Colmar,2016,Moderate
Colmar,2017,Moderate
Colmar,2018,Moderate
Colmar,2019,Moderate
Colmar,2020,Moderate
Colmar,2021,Moderate
Colmenar Viejo,2013,Moderate
Colmenar Viejo,2014,Moderate
Colmenar Viejo,2015,Moderate
Colmenar Viejo,2016,Moderate
Colmenar Viejo,2017,Moderate
Colmenar Viejo,2018,Moderate
Colmenar Viejo,2019,Moderate
Colmenar Viejo,2020,Moderate
Colmenar Viejo,2021,Moderate
Colmenar viejo,2010,Moderate
Colombo,2011,Moderate
Colombo,2012,Moderate
Colombo,2013,Moderate
Colombo,2017,Moderate
Colombo,2018,Moderate
Colombo,2019,Moderate
"Colorado Springs, CO",2010,Moderate
"Colorado Springs, CO",2011,Moderate
"Colorado Springs, CO",2012,Moderate
"Colorado Springs, CO",2013,Moderate
"Colorado Springs, CO",2014,Moderate
"Colorado Springs, CO",2015,Moderate
"Colorado Springs, CO",2016,Moderate
"Colorado Springs, CO",2017,Moderate
"Colorado Springs, CO",2018,Moderate
"Colorado Springs, CO",2019,Moderate
"Colorado Springs, CO",2020,Moderate
"Colorado Springs, CO",2021,Moderate
Colorno,2010,Moderate
Colorno,2013,Moderate
Colorno,2014,Moderate
Colorno,2015,Moderate
Colorno,2016,Moderate
Colorno,2017,Moderate
Colorno,2018,Moderate
Colorno,2019,Moderate
Colorno,2020,Moderate
Colorno,2021,Moderate
"Columbia, SC",2010,Moderate
"Columbia, SC",2011,Moderate
"Columbia, SC",2012,Good
"Columbia, SC",2013,Good
"Columbia, SC",2014,Moderate
"Columbia, SC",2015,Moderate
"Columbia, SC",2016,Good
"Columbia, SC",2017,Good
"Columbia, SC",2018,Good
"Columbia, SC",2019,Good
"Columbia, SC",2020,Good
"Columbia, SC",2021,Good
"Columbus, GA-AL",2010,Moderate
"Columbus, GA-AL",2011,Moderate
"Columbus, GA-AL",2012,Moderate
"Columbus, GA-AL",2013,Moderate
"Columbus, GA-AL",2014,Moderate
"Columbus, GA-AL",2015,Moderate
"Columbus, GA-AL",2016,Moderate
"Columbus, GA-AL",2017,Moderate
"Columbus, GA-AL",2018,Moderate
"Columbus, GA-AL",2019,Moderate
"Columbus, GA-AL",2020,Moderate
"Columbus, GA-AL",2021,Moderate
"Columbus, OH",2010,Moderate
"Columbus, OH",2011,Moderate
"Columbus, OH",2012,Moderate
"Columbus, OH",2013,Moderate
"Columbus, OH",2014,Moderate
"Columbus, OH",2015,Moderate
"Columbus, OH",2016,Moderate
"Columbus, OH",2017,Moderate
"Columbus, OH",2018,Moderate
"Columbus, OH",2019,Moderate
"Columbus, OH",2021,Moderate
Comano,2011,Moderate
Comano,2012,Moderate
Comano,2013,Moderate
Comano,2014,Moderate
Comano,2015,Moderate
Comas,2008,Moderate
Comas,2009,Moderate
Comas,2010,Moderate
Comas,2011,Moderate
Comas,2013,Moderate
Comas,2014,Moderate
Comas,2015,Moderate
Comas,2016,Moderate
Comas,2017,Moderate
Comas,2018,Moderate
Comas,2019,Moderate
Como,2010,Moderate
Como,2013,Poor
Como,2014,Poor
Como,2015,Poor
Como,2016,Poor
Como,2017,Poor
Como,2018,Poor
Como,2019,Moderate
Como,2020,Moderate
Como,2021,Moderate
Comuna de coyhaique,2010,Moderate
Comuna de coyhaique,2011,Moderate
Comuna de coyhaique,2013,Moderate
Comuna de coyhaique,2014,Moderate
Comuna de coyhaique,2015,Moderate
Comuna de coyhaique,2016,Moderate
Conceição,2013,Good
Conceição,2014,Good
Conceição,2015,Good
Conceição,2016,Good
Conceição,2017,Moderate
Conceição,2018,Good
Conceição,2019,Moderate
Conceição,2020,Good
Concepcion,2014,Moderate
Concepcion,2015,Moderate
Concepcion,2016,Moderate
Concon,2019,Moderate
Concordia sagittaria,2010,Moderate
Conegliano,2010,Moderate
Conegliano,2013,Moderate
Conegliano,2014,Moderate
Conegliano,2015,Moderate
Conegliano,2016,Moderate
Conegliano,2017,Moderate
Conegliano,2018,Moderate
Conegliano,2019,Moderate
Conegliano,2020,Moderate
Conegliano,2021,Moderate
Conghua qu,2018,Moderate
Conghua qu,2019,Moderate
Congosto,2010,Moderate
Congosto,2013,Moderate
Congosto,2014,Moderate
Congosto,2015,Moderate
Congosto,2016,Moderate
Congosto,2017,Moderate
Congosto,2018,Moderate
Congosto,2019,Moderate
Congosto,2020,Moderate
Congtai qu,2018,Moderate
Congtai qu,2019,Moderate
Conklin,2017,Moderate
Conklin,2018,Moderate
Conklin,2019,Moderate
Conklin,2020,Moderate
Constanta,2010,Moderate
Constanta,2013,Moderate
Constanta,2014,Moderate
Constanta,2015,Moderate
Constanta,2016,Moderate
Constanta,2017,Moderate
Constanta,2018,Moderate
Constanta,2020,Moderate
Constanta,2021,Moderate
Constanta,2022,Moderate
Constanti,2010,Moderate
Constanti,2013,Moderate
Constantí,2013,Moderate
Constantí,2014,Moderate
Constantí,2015,Moderate
Constantí,2016,Moderate
Constantí,2017,Moderate
Constantí,2018,Moderate
Constantí,2019,Moderate
Constantí,2020,Moderate
Constantí,2021,Good
Contes,2010,Moderate
Contes,2013,Moderate
Contes,2014,Moderate
Contes,2015,Moderate
Contes,2016,Moderate
Contes,2017,Moderate
Contes,2018,Moderate
Contes,2019,Moderate
Contes,2020,Moderate
Contes,2021,Moderate
Coochbehar,2020,Moderate
Copacabana,2011,Moderate
Copacabana,2012,Moderate
Copacabana,2013,Moderate
Copacabana,2014,Moderate
Copacabana,2015,Moderate
Copacabana,2018,Moderate
Copacabana,2019,Moderate
Copenhagen,2010,Moderate
Copiapo,2014,Moderate
Copiapo,2015,Moderate
Copiapo,2016,Moderate
Copiapo,2019,Moderate
Copsa mica,2010,Moderate
Coquimbo,2014,Moderate
Coquimbo,2015,Moderate
Coquimbo,2016,Moderate
Coquimbo,2019,Moderate
Coquitlam,2016,Moderate
Coquitlam,2018,Moderate
Coquitlam,2019,Moderate
Coquitlam,2020,Moderate
Coratxa,2013,Moderate
Corbiolo,2013,Moderate
Corbiolo,2014,Moderate
Corbiolo,2015,Moderate
Corbiolo,2016,Moderate
Corbiolo,2017,Moderate
Corbiolo,2018,Moderate
Corbiolo,2019,Moderate
Corbiolo,2020,Moderate
Corbiolo,2021,Moderate
Cordeiripolis,2013,Moderate
Cordeiripolis,2014,Moderate
Cordeiripolis,2015,Moderate
Cordeiripolis,2016,Moderate
Cordeiropolis – módolo,2014,Moderate
Cordoba,2010,Moderate
Cordoba,2013,Moderate
Cork,2010,Moderate
Cork,2013,Moderate
Cork,2014,Moderate
Cork,2015,Moderate
Cork,2016,Good
Cork,2017,Good
Cork,2018,Good
Cork,2019,Good
Cork,2020,Good
Cork,2021,Good
Cork city,2013,Moderate
Cormano,2010,Moderate
Cornale,2010,Moderate
Cornale,2013,Moderate
Cornale,2014,Moderate
Cornale,2015,Moderate
Cornale,2016,Moderate
Cornale,2017,Moderate
Cornale,2018,Moderate
Cornale,2019,Moderate
Cornale,2020,Moderate
Cornale,2021,Moderate
Cornaux,2012,Moderate
Cornaux,2013,Moderate
Cornella de llobregat,2010,Moderate
Corner Brook,2020,Moderate
Corner brook,2013,Moderate
Corner brook,2015,Moderate
Corner brook,2016,Moderate
Corner brook,2017,Moderate
Corner brook,2018,Moderate
Corner brook,2019,Moderate
"Corning, NY",2010,Moderate
"Corning, NY",2011,Moderate
"Corning, NY",2012,Moderate
"Corning, NY",2013,Moderate
"Corning, NY",2014,Moderate
"Corning, NY",2015,Moderate
"Corning, NY",2016,Moderate
"Corning, NY",2017,Moderate
"Corning, NY",2018,Moderate
"Corning, NY",2019,Moderate
"Corning, NY",2020,Moderate
"Corning, NY",2021,Moderate
Cornwall,2013,Moderate
Cornwall,2015,Moderate
Cornwall,2016,Moderate
Cornwall,2017,Moderate
Cornwall,2018,Moderate
Cornwall,2019,Moderate
Cornwall,2020,Good
Coronango,2018,Moderate
Coronel,2014,Moderate
Coronel,2015,Moderate
Coronel,2016,Moderate
Coronel,2019,Moderate
"Corpus Christi, TX",2010,Moderate
"Corpus Christi, TX",2011,Moderate
"Corpus Christi, TX",2012,Moderate
"Corpus Christi, TX",2013,Moderate
"Corpus Christi, TX",2014,Moderate
"Corpus Christi, TX",2015,Moderate
"Corpus Christi, TX",2016,Moderate
"Corpus Christi, TX",2017,Moderate
"Corpus Christi, TX",2018,Moderate
"Corpus Christi, TX",2019,Moderate
"Corpus Christi, TX",2020,Moderate
"Corpus Christi, TX",2021,Moderate
Corrales de buelna (los),2010,Moderate
Corroy le grand,2010,Moderate
Corroy-le-Grand,2013,Moderate
Corroy-le-Grand,2014,Moderate
Corroy-le-Grand,2015,Moderate
Corroy-le-Grand,2016,Moderate
Corroy-le-Grand,2017,Moderate
Corroy-le-Grand,2018,Moderate
Corroy-le-Grand,2019,Good
Corroy-le-Grand,2020,Good
Corrregidora,2018,Moderate
"Corsicana, TX",2010,Moderate
"Corsicana, TX",2011,Moderate
"Corsicana, TX",2012,Moderate
"Corsicana, TX",2013,Moderate
"Corsicana, TX",2014,Moderate
"Corsicana, TX",2015,Moderate
"Corsicana, TX",2016,Moderate
"Corsicana, TX",2017,Moderate
"Corsicana, TX",2018,Moderate
"Corsicana, TX",2019,Moderate
"Corsicana, TX",2020,Moderate
"Corsicana, TX",2021,Moderate
Corte brugnatella,2013,Moderate
Corte de' Cortesi con Cignone,2016,Moderate
Corte de' Cortesi con Cignone,2017,Moderate
Corte de' Cortesi con Cignone,2018,Moderate
Corte de' Cortesi con Cignone,2019,Moderate
Corte de' Cortesi con Cignone,2020,Moderate
Corte de' Cortesi con Cignone,2021,Moderate
Corte de'cortesi con cignone,2010,Moderate
Cortina sulla strada del vino,2010,Moderate
Corum,2010,Moderate
Coruna (a),2010,Moderate
Cosenza,2010,Moderate
Cosenza,2015,Moderate
Cosenza,2016,Moderate
Cosenza,2017,Moderate
Cosenza,2018,Moderate
Cosenza,2019,Moderate
Cosenza,2020,Moderate
Cosenza,2021,Moderate
Coslada,2010,Moderate
Cossato,2010,Moderate
Cossato,2013,Moderate
Cossato,2014,Moderate
Cossato,2015,Moderate
Cossato,2016,Moderate
Cossato,2017,Moderate
Cossato,2018,Moderate
Cossato,2019,Moderate
Cossato,2020,Moderate
Cossato,2021,Moderate
Costa Teguise,2013,Good
Costa Teguise,2014,Good
Costa Teguise,2015,Moderate
Costa Teguise,2016,Good
Costa Teguise,2017,Moderate
Costa Teguise,2018,Moderate
Costa Teguise,2019,Moderate
Costa Teguise,2020,Moderate
Costa Teguise,2021,Moderate
Cotonou,2019,Moderate
Cotonou,2020,Moderate
Cottbus,2010,Moderate
Cottbus,2013,Moderate
Cottbus,2014,Moderate
Cottbus,2015,Moderate
Cottbus,2016,Moderate
Cottbus,2017,Moderate
Cottbus,2018,Moderate
Cottbus,2019,Moderate
Cottbus,2020,Good
Cottbus,2021,Moderate
Coulommiers,2013,Moderate
Coulommiers,2014,Moderate
Coulommiers,2015,Moderate
Coulommiers,2016,Moderate
Coulommiers,2017,Moderate
Coulommiers,2018,Moderate
Coulommiers,2019,Moderate
Coulommiers,2020,Moderate
Coulommiers,2021,Moderate
Courmayeur,2010,Moderate
Courtenay,2013,Moderate
Courtenay,2015,Moderate
Courtenay,2016,Moderate
Courtenay,2017,Moderate
Courtenay,2018,Moderate
Courtenay,2019,Moderate
Courtenay,2020,Moderate
Coventry,2010,Moderate
Coventry,2013,Moderate
Coventry,2014,Moderate
Coventry,2015,Moderate
Coventry,2016,Moderate
Coventry,2017,Moderate
Coventry,2018,Moderate
Coventry,2019,Good
Coventry,2020,Good
Coyhaique,2014,Moderate
Coyhaique,2019,Moderate
Coyoacan,2012,Moderate
Coyoacan,2013,Moderate
Coyoacan,2014,Moderate
Coyoacan,2015,Moderate
Coyoacan,2016,Moderate
Coyoacan,2017,Moderate
Craiova,2010,Moderate
Craiova,2013,Moderate
Craiova,2014,Moderate
Craiova,2015,Moderate
Craiova,2016,Moderate
Craiova,2017,Moderate
Craiova,2018,Moderate
Craiova,2019,Moderate
Craiova,2020,Moderate
Craiova,2021,Moderate
Craiova,2022,Moderate
Cranbrook,2020,Moderate
Creil,2010,Moderate
Creil,2013,Moderate
Creil,2014,Moderate
Creil,2015,Moderate
Creil,2016,Moderate
Creil,2017,Moderate
Creil,2018,Moderate
Creil,2019,Moderate
Creil,2020,Good
Creil,2021,Moderate
Crema,2010,Moderate
Crema,2013,Moderate
Crema,2014,Moderate
Crema,2015,Moderate
Crema,2016,Moderate
Crema,2017,Moderate
Crema,2018,Moderate
Crema,2019,Moderate
Crema,2020,Moderate
Crema,2021,Moderate
Cremona,2010,Moderate
Cremona,2013,Moderate
Cremona,2014,Moderate
Cremona,2015,Moderate
Cremona,2016,Moderate
Cremona,2017,Moderate
Cremona,2018,Moderate
Cremona,2019,Moderate
Cremona,2020,Moderate
Cremona,2021,Moderate
Crewe,2019,Moderate
Crna na Koroškem,2013,Moderate
Crna na Koroškem,2014,Moderate
Crna na Koroškem,2015,Moderate
Crna na Koroškem,2016,Moderate
Crna na Koroškem,2017,Moderate
Crna na Koroškem,2018,Moderate
Crna na Koroškem,2019,Moderate
Crna na Koroškem,2020,Moderate
Crofton,2015,Moderate
Crofton,2016,Moderate
Crofton,2017,Moderate
Crofton,2018,Moderate
Crolles,2010,Moderate
Crolles,2013,Moderate
Crolles,2014,Moderate
Crolles,2015,Moderate
Crolles,2016,Moderate
Crolles,2017,Moderate
Crolles,2018,Moderate
Crolles,2019,Moderate
Crolles,2020,Good
Crolles,2021,Moderate
Crotone,2010,Moderate
Crotone,2015,Moderate
Crotone,2016,Moderate
Crotone,2017,Moderate
Crotone,2018,Moderate
Crotone,2019,Moderate
Crotone,2020,Moderate
Crotone,2021,Moderate
Cruce de Arinaga,2013,Moderate
Cruce de Arinaga,2014,Good
Cruce de Arinaga,2015,Moderate
Cruce de Arinaga,2016,Good
Cruce de Arinaga,2017,Moderate
Cruce de Arinaga,2018,Moderate
Cruce de Arinaga,2019,Moderate
Cruce de Arinaga,2020,Moderate
Crumlin,2014,Moderate
Crumlin,2015,Moderate
Crumlin,2016,Moderate
Crumlin,2017,Moderate
Crumlin,2018,Moderate
Crumlin,2019,Moderate
Cu<U+0219>telnic,2018,Moderate
Cu<U+0219>telnic,2019,Moderate
Cu<U+0219>telnic,2021,Moderate
Cuadros,2010,Moderate
Cuadros,2013,Moderate
Cuadros,2014,Moderate
Cuadros,2015,Moderate
Cuadros,2016,Moderate
Cuadros,2017,Moderate
Cuadros,2018,Moderate
Cuadros,2019,Moderate
Cuadros,2020,Moderate
Cuajimalpa de morelos,2012,Moderate
Cuajimalpa de morelos,2013,Moderate
Cuajimalpa de morelos,2014,Moderate
Cuajimalpa de morelos,2015,Moderate
Cuajimalpa de morelos,2016,Moderate
Cuajimalpa de morelos,2017,Moderate
Cuauhtemoc,2012,Moderate
Cuauhtemoc,2013,Moderate
Cuauhtemoc,2014,Moderate
Cuauhtemoc,2015,Moderate
Cuauhtemoc,2016,Moderate
Cuauhtemoc,2017,Moderate
Cubatao,2010,Moderate
Cubatao,2011,Moderate
Cubatao,2012,Moderate
Cubatao,2013,Moderate
Cubatao,2014,Moderate
Cubatao,2015,Moderate
Cubatao,2016,Moderate
Cubelles,2010,Moderate
Cubelles,2013,Moderate
Cubelles,2014,Moderate
Cubelles,2015,Moderate
Cubelles,2016,Moderate
Cubelles,2017,Moderate
Cubelles,2018,Moderate
Cubelles,2019,Moderate
Cubelles,2020,Moderate
Cubelles,2021,Moderate
Cubillos del Sil,2021,Moderate
Cuddalore,2013,Moderate
Cuddalore,2014,Moderate
Cuddalore,2020,Moderate
Cuenca,2010,Moderate
Cuenca,2011,Moderate
Cuenca,2012,Moderate
Cuenca,2013,Moderate
Cuenca,2014,Moderate
Cuenca,2015,Moderate
Cuenca,2016,Moderate
Cuenca,2017,Moderate
Cuenca,2018,Moderate
Cuenca,2019,Moderate
Cuenca,2020,Moderate
Cuenca,2021,Moderate
Cuernavaca,2018,Moderate
Cuevas del almanzora,2010,Moderate
Cuevas del almanzora,2013,Moderate
Cuiping district,2018,Moderate
Cuiping district,2019,Moderate
Cuiping qu,2018,Moderate
Cuiping qu,2019,Moderate
"Cullowhee, NC",2010,Moderate
"Cullowhee, NC",2011,Moderate
"Cullowhee, NC",2012,Moderate
"Cullowhee, NC",2013,Moderate
"Cullowhee, NC",2014,Moderate
"Cullowhee, NC",2015,Moderate
"Cullowhee, NC",2016,Moderate
"Cullowhee, NC",2017,Moderate
"Cullowhee, NC",2018,Moderate
"Cullowhee, NC",2019,Moderate
"Cullowhee, NC",2020,Moderate
Cuncolim,2020,Moderate
Cuneo,2010,Moderate
Cuneo,2013,Moderate
Cuneo,2014,Moderate
Cuneo,2015,Moderate
Cuneo,2016,Moderate
Cuneo,2017,Moderate
Cuneo,2018,Moderate
Cuneo,2019,Moderate
Cuneo,2020,Moderate
Cuneo,2021,Moderate
Curanilahue,2015,Moderate
Curanilahue,2019,Moderate
Curchorem,2011,Moderate
Curchorem,2013,Moderate
Curico,2013,Moderate
Curico,2014,Moderate
Curico,2015,Moderate
Curico,2016,Moderate
Curico,2019,Moderate
Curitiba,2010,Moderate
Curitiba,2011,Moderate
Curitiba,2012,Moderate
Curitiba,2013,Moderate
Curitiba,2014,Moderate
Curitiba,2015,Moderate
Curtea de Arges,2020,Moderate
Curtea de Arges,2021,Moderate
Curtea de Arges,2022,Moderate
Curtis,2020,Good
Curtis,2021,Good
Custoias,2010,Moderate
Custoias,2013,Moderate
Cuttack,2012,Moderate
Cuttack,2013,Moderate
Cuttack,2020,Moderate
Cuxhaven,2010,Moderate
Cuxhaven,2013,Moderate
Cwmbran,2010,Moderate
Cwmbran,2013,Moderate
Cwmbran,2014,Moderate
Cwmbran,2015,Moderate
Cwmbran,2016,Moderate
Cwmbran,2017,Moderate
Cwmbran,2018,Moderate
Cwmbran,2019,Moderate
Cygnet,2019,Moderate
Czerniawa,2010,Moderate
Czerwonak,2018,Moderate
Czerwonak,2019,Moderate
Czerwonak,2020,Moderate
Czestochowa,2010,Moderate
Czestochowa,2013,Moderate
Czestochowa,2014,Moderate
Czestochowa,2015,Moderate
Czestochowa,2016,Moderate
Czestochowa,2017,Moderate
Czestochowa,2018,Moderate
Czestochowa,2019,Moderate
Czestochowa,2020,Moderate
Cáceres,2013,Moderate
Cáceres,2014,Moderate
Cáceres,2015,Good
Cáceres,2016,Moderate
Cáceres,2017,Good
Cáceres,2018,Moderate
Cáceres,2019,Moderate
Cáceres,2020,Moderate
Cáceres,2021,Moderate
Cádiz,2013,Moderate
Cádiz,2014,Moderate
Cádiz,2015,Moderate
Cádiz,2016,Moderate
Cádiz,2017,Moderate
Cádiz,2018,Moderate
Cádiz,2019,Moderate
Cádiz,2020,Moderate
Cádiz,2021,Moderate
Córdoba,2013,Moderate
Córdoba,2014,Moderate
Córdoba,2015,Moderate
Córdoba,2016,Moderate
Córdoba,2017,Moderate
Córdoba,2018,Moderate
Córdoba,2019,Moderate
Córdoba,2020,Moderate
Córdoba,2021,Moderate
DKI Jakarta,2018,Poor
DKI Jakarta,2019,Poor
DKI Jakarta,2020,Poor
DKI Jakarta,2021,Moderate
Da nang,2011,Moderate
Da nang,2012,Moderate
Da nang,2013,Moderate
Da nang,2014,Moderate
Da nang,2015,Moderate
Da tong qu,2018,Moderate
Da tong qu,2019,Moderate
Da xi gou,2018,Moderate
Da xi gou,2019,Moderate
Daan qu,2018,Moderate
Daan qu,2019,Moderate
Dabrowa,2013,Moderate
Dabrowa,2014,Moderate
Dabrowa,2016,Moderate
Dabrowa,2017,Moderate
Dabrowa,2018,Moderate
Dabrowa,2019,Moderate
Dabrowa,2020,Moderate
Dabrowa Tarnowska,2014,Moderate
Dabrowa gornicza,2010,Moderate
Dabrowa gornicza,2013,Moderate
Dachuan qu,2015,Moderate
Dachuan qu,2016,Moderate
Dachuan qu,2018,Moderate
Dachuan qu,2019,Moderate
Daegu,2010,Moderate
Daegu,2011,Moderate
Daegu,2012,Moderate
Daegu,2013,Moderate
Daegu,2014,Moderate
Daegu,2015,Moderate
Daegu,2016,Moderate
Daegu,2017,Moderate
Daegu,2018,Moderate
Daegu,2019,Moderate
Daegu metropolitan city,2015,Moderate
Daegu metropolitan city,2016,Moderate
Daejeon,2010,Moderate
Daejeon,2011,Moderate
Daejeon,2012,Moderate
Daejeon,2013,Moderate
Daejeon,2014,Moderate
Daejeon,2015,Moderate
Daejeon,2016,Moderate
Daejeon,2017,Moderate
Daejeon,2018,Moderate
Daejeon,2019,Moderate
Daguan qu,2015,Moderate
Daguan qu,2016,Moderate
Daguan qu,2018,Moderate
Daguan qu,2019,Moderate
Daguapan city,2013,Moderate
Dahi,2016,Moderate
Dahi,2017,Moderate
Dahi,2018,Moderate
Dahi,2019,Moderate
Dahi,2020,Moderate
Dahi,2021,Moderate
Daix,2010,Moderate
Daix,2013,Moderate
Daix,2014,Moderate
Daix,2015,Moderate
Daix,2016,Moderate
Daix,2017,Moderate
Daix,2018,Moderate
Dakar,2013,Moderate
Dakar,2014,Moderate
Dakar,2015,Moderate
Dakar,2016,Moderate
Dakar,2017,Moderate
Dakar,2018,Moderate
Dakar,2019,Moderate
Dalaas,2010,Moderate
Dalaas,2013,Moderate
Dali,2017,Moderate
Dali,2018,Moderate
Dali,2019,Moderate
Dali shi,2015,Moderate
Dali shi,2016,Moderate
Dali shi,2018,Moderate
Dali shi,2019,Moderate
Dalian,2013,Moderate
Dalian,2014,Moderate
Dalian,2015,Moderate
Dalian,2016,Moderate
Dalian,2017,Moderate
Dalian,2018,Moderate
Dalian,2020,Moderate
Dalian shi,2018,Moderate
Dalian shi,2019,Moderate
Daliyat al-karmel,2016,Moderate
Daliyat al-karmel,2017,Moderate
Daliyat al-karmel,2018,Moderate
Daliyat al-karmel,2019,Moderate
Daliyat al-karmel,2020,Moderate
Daliyat al-karmel,2021,Moderate
"Dallas-Fort Worth-Arlington, TX",2010,Moderate
"Dallas-Fort Worth-Arlington, TX",2011,Moderate
"Dallas-Fort Worth-Arlington, TX",2012,Moderate
"Dallas-Fort Worth-Arlington, TX",2013,Moderate
"Dallas-Fort Worth-Arlington, TX",2014,Moderate
"Dallas-Fort Worth-Arlington, TX",2015,Moderate
"Dallas-Fort Worth-Arlington, TX",2016,Moderate
"Dallas-Fort Worth-Arlington, TX",2017,Moderate
"Dallas-Fort Worth-Arlington, TX",2018,Moderate
"Dallas-Fort Worth-Arlington, TX",2019,Moderate
"Dallas-Fort Worth-Arlington, TX",2020,Moderate
"Dallas-Fort Worth-Arlington, TX",2021,Moderate
Dallgow-Döberitz,2019,Good
Dallgow-Döberitz,2020,Good
Dallgow-Döberitz,2021,Good
Dalmine,2013,Poor
Dalmine,2014,Moderate
Dalmine,2015,Moderate
Dalmine,2016,Moderate
Dalmine,2017,Moderate
Dalmine,2018,Moderate
Dalmine,2019,Moderate
Dalmine,2020,Moderate
Dalmine,2021,Moderate
Daman,2011,Moderate
Daman,2015,Moderate
Damme,2013,Moderate
Damparis,2010,Moderate
Damparis,2013,Moderate
Damparis,2014,Moderate
Damparis,2015,Moderate
Damparis,2016,Moderate
Damparis,2017,Moderate
Damparis,2018,Moderate
Damparis,2019,Moderate
Damparis,2020,Moderate
